"id","state_id","name","created_at","updated_at"
629,216,"Quibala",,
634,216,"Sumbe",,
635,216,"Uacu Cungo",,
628,215,"Ondjiva",,
600,213,"Caála",,
601,213,"Chela",,
609,213,"Huambo",,
614,213,"Longonjo",,
592,225,"Caconda",,
593,225,"Caluquembe",,
602,225,"Chibia",,
603,225,"Chicomba",,
604,225,"Chipindo",,
607,225,"Cuvango",,
608,225,"Gambos",,
610,225,"Humpata",,
612,225,"Jamba",,
617,225,"Lubango",,
623,225,"Matala",,
630,225,"Quilengues",,
631,225,"Quipungo",,
589,222,"Belas",,
611,222,"Icolo e Bengo",,
615,222,"Luanda",,
618,223,"Lucapa",,
599,220,"Cazaji",,
632,220,"Saurimo",,
622,227,"Malanje",,
621,219,"Léua",,
616,219,"Luau",,
619,219,"Luena",,
620,219,"Lumeje",,
636,224,"Uíge",,
624,214,"Mbanza Congo",,
626,214,"N'zeto",,
633,214,"Soio",,
144,3708,"Codrington",,
148,3709,"Piggotts",,
149,3706,"Potters Village",,
150,3706,"Saint John’s",,
143,3707,"Bolands",,
145,3705,"Falmouth",,
146,3705,"Liberta",,
142,3704,"All Saints",,
147,3704,"Parham",,
682,3656,"Balvanera",,
683,3656,"Barracas",,
687,3656,"Belgrano",,
697,3656,"Boedo",,
704,3656,"Buenos Aires",,
773,3656,"Colegiales",,
1380,3656,"Retiro",,
1561,3656,"Villa Lugano",,
1570,3656,"Villa Ortúzar",,
1576,3656,"Villa Santa Rita",,
659,3647,"Ancasti",,
661,3647,"Andalgalá",,
663,3647,"Antofagasta de la Sierra",,
726,3647,"Capayán",,
824,3647,"Departamento de Ambato",,
825,3647,"Departamento de Ancasti",,
826,3647,"Departamento de Andalgalá",,
829,3647,"Departamento de Antofagasta de la Sierra",,
846,3647,"Departamento de Capayán",,
849,3647,"Departamento de Capital",,
877,3647,"Departamento de El Alto",,
884,3647,"Departamento de Fray Mamerto Esquiú",,
918,3647,"Departamento de La Paz",,
959,3647,"Departamento de Pomán",,
1006,3647,"Departamento de Santa María",,
1007,3647,"Departamento de Santa Rosa",,
1020,3647,"Departamento de Tinogasta",,
1030,3647,"Departamento de Valle Viejo",,
1060,3647,"El Rodeo",,
1078,3647,"Fiambalá",,
1142,3647,"Hualfín",,
1145,3647,"Huillapima",,
1149,3647,"Icaño",,
1197,3647,"La Puerta de San José",,
1239,3647,"Londres",,
1243,3647,"Los Altos",,
1256,3647,"Los Varela",,
1294,3647,"Mutquín",,
1340,3647,"Pomán",,
1350,3647,"Puerta de Corral Quemado",,
1378,3647,"Recreo",,
1408,3647,"San Antonio",,
1421,3647,"San Fernando del Valle de Catamarca",,
1464,3647,"Santa María",,
1505,3647,"Tinogasta",,
677,3640,"Aviá Terai",,
685,3640,"Barranqueras",,
686,3640,"Basail",,
719,3640,"Campo Largo",,
730,3640,"Capitán Solari",,
737,3640,"Castelli",,
753,3640,"Charadai",,
754,3640,"Charata",,
765,3640,"Chorotis",,
767,3640,"Ciervo Petiso",,
776,3640,"Colonia Benítez",,
778,3640,"Colonia Elisa",,
782,3640,"Colonias Unidas",,
791,3640,"Concepción del Bermejo",,
799,3640,"Coronel Du Graty",,
804,3640,"Corzuela",,
807,3640,"Coté-Lai",,
822,3640,"Departamento de Almirante Brown",,
837,3640,"Departamento de Bermejo",,
865,3640,"Departamento de Comandante Fernández",,
875,3640,"Departamento de Doce de Octubre",,
876,3640,"Departamento de Dos de Abril",,
890,3640,"Departamento de General Donovan",,
892,3640,"Departamento de General Güemes",,
909,3640,"Departamento de Independencia",,
928,3640,"Departamento de Libertad",,
937,3640,"Departamento de Maipú",,
950,3640,"Departamento de Nueve de Julio",,
954,3640,"Departamento de O’Higgins",,
960,3640,"Departamento de Presidencia de la Plaza",,
962,3640,"Departamento de Quitilipi",,
986,3640,"Departamento de San Fernando",,
994,3640,"Departamento de San Lorenzo",,
1010,3640,"Departamento de Sargento Cabral",,
1017,3640,"Departamento de Tapenagá",,
1081,3640,"Fontana",,
1088,3640,"Gancedo",,
1105,3640,"General José de San Martín",,
1109,3640,"General Pinedo",,
1114,3640,"General Vedia",,
1135,3640,"Hermoso Campo",,
1181,3640,"La Clotilde",,
1186,3640,"La Eduvigis",,
1187,3640,"La Escondida",,
1191,3640,"La Leonesa",,
1201,3640,"La Tigra",,
1203,3640,"La Verde",,
1208,3640,"Laguna Limpia",,
1213,3640,"Lapachito",,
1216,3640,"Las Breñas",,
1218,3640,"Las Garcitas",,
1249,3640,"Los Frentones",,
1260,3640,"Machagai",,
1264,3640,"Makallé",,
1270,3640,"Margarita Belén",,
1296,3640,"Napenay",,
1314,3640,"Pampa Almirón",,
1316,3640,"Pampa del Indio",,
1317,3640,"Pampa del Infierno",,
1347,3640,"Presidencia de la Plaza",,
1345,3640,"Presidencia Roca",,
1346,3640,"Presidencia Roque Sáenz Peña",,
1351,3640,"Puerto Bermejo",,
1363,3640,"Puerto Tirol",,
1364,3640,"Puerto Vilelas",,
1370,3640,"Quitilipi",,
1379,3640,"Resistencia",,
1405,3640,"Samuhú",,
1414,3640,"San Bernardo",,
1471,3640,"Santa Sylvina",,
1493,3640,"Taco Pozo",,
1515,3640,"Tres Isletas",,
1586,3640,"Villa Ángela",,
1542,3640,"Villa Berthet",,
655,3651,"Alto Río Senguer",,
715,3651,"Camarones",,
787,3651,"Comodoro Rivadavia",,
839,3651,"Departamento de Biedma",,
873,3651,"Departamento de Cushamen",,
880,3651,"Departamento de Escalante",,
883,3651,"Departamento de Florentino Ameghino",,
885,3651,"Departamento de Futaleufú",,
886,3651,"Departamento de Gaimán",,
887,3651,"Departamento de Gastre",,
923,3651,"Departamento de Languiñeo",,
949,3651,"Departamento de Mártires",,
956,3651,"Departamento de Paso de Indios",,
963,3651,"Departamento de Rawson",,
979,3651,"Departamento de Río Senguerr",,
1012,3651,"Departamento de Sarmiento",,
1018,3651,"Departamento de Tehuelches",,
1019,3651,"Departamento de Telsen",,
1042,3651,"Dolavón",,
1058,3651,"El Maitén",,
1070,3651,"Esquel",,
1087,3651,"Gaimán",,
1092,3651,"Gastre",,
1115,3651,"Gobernador Costa",,
1141,3651,"Hoyo de Epuyén",,
1169,3651,"José de San Martín",,
1206,3651,"Lago Puelo",,
1229,3651,"Las Plumas",,
1359,3651,"Puerto Madryn",,
1371,3651,"Rada Tilly",,
1374,3651,"Rawson",,
1393,3651,"Río Mayo",,
1394,3651,"Río Pico",,
1477,3651,"Sarmiento",,
1499,3651,"Tecka",,
1512,3651,"Trelew",,
1516,3651,"Trevelin",,
639,3642,"Achiras",,
640,3642,"Adelia María",,
641,3642,"Agua de Oro",,
647,3642,"Alejandro Roca",,
648,3642,"Alejo Ledesma",,
651,3642,"Almafuerte",,
653,3642,"Alta Gracia",,
656,3642,"Altos de Chipión",,
668,3642,"Arias",,
671,3642,"Arroyito",,
672,3642,"Arroyo Cabral",,
681,3642,"Balnearia",,
688,3642,"Bell Ville",,
695,3642,"Berrotarán",,
701,3642,"Brinkmann",,
702,3642,"Buchardo",,
716,3642,"Camilo Aldao",,
744,3642,"Cañada de Luque",,
723,3642,"Canals",,
727,3642,"Capilla del Monte",,
733,3642,"Carnerillo",,
734,3642,"Carrilobo",,
742,3642,"Cavanagh",,
755,3642,"Charras",,
757,3642,"Chazón",,
769,3642,"Cintra",,
780,3642,"Colonia La Tordilla",,
781,3642,"Colonia San Bartolomé",,
815,3642,"Córdoba",,
797,3642,"Coronel Baigorria",,
800,3642,"Coronel Moldes",,
801,3642,"Corral de Bustos",,
802,3642,"Corralito",,
805,3642,"Cosquín",,
806,3642,"Costa Sacate",,
809,3642,"Cruz Alta",,
811,3642,"Cruz del Eje",,
812,3642,"Cuesta Blanca",,
816,3642,"Dalmacio Vélez Sársfield",,
1039,3642,"Deán Funes",,
818,3642,"Del Campillo",,
842,3642,"Departamento de Calamuchita",,
864,3642,"Departamento de Colón",,
871,3642,"Departamento de Cruz del Eje",,
896,3642,"Departamento de General Roca",,
897,3642,"Departamento de General San Martín",,
914,3642,"Departamento de Juárez Celman",,
939,3642,"Departamento de Marcos Juárez",,
943,3642,"Departamento de Minas",,
961,3642,"Departamento de Presidente Roque Sáenz Peña",,
974,3642,"Departamento de Río Cuarto",,
976,3642,"Departamento de Río Primero",,
977,3642,"Departamento de Río Seco",,
978,3642,"Departamento de Río Segundo",,
981,3642,"Departamento de San Alberto",,
990,3642,"Departamento de San Javier",,
991,3642,"Departamento de San Justo",,
1016,3642,"Departamento de Sobremonte",,
1022,3642,"Departamento de Totoral",,
1024,3642,"Departamento de Tulumba",,
1029,3642,"Departamento de Unión",,
1037,3642,"Despeñaderos",,
1038,3642,"Devoto",,
1049,3642,"El Arañado",,
